state,region,disease,year,cases,incidence_per_100k,population
Arunachal Pradesh,Northeast,Hepatitis B,2019,37229,43.91,84787789
Arunachal Pradesh,Northeast,Diarrhoeal Disease,2019,34039,40.15,84787789
Arunachal Pradesh,Northeast,Pneumonia,2019,46400,54.72,84787789
Arunachal Pradesh,Northeast,Tuberculosis,2020,25139,40.98,61344355
Arunachal Pradesh,Northeast,Malaria,2020,83830,136.65,61344355
Arunachal Pradesh,Northeast,Dengue,2020,97132,158.34,61344355
Arunachal Pradesh,Northeast,HIV/AIDS,2020,46791,76.28,61344355
Arunachal Pradesh,Northeast,Measles,2020,36292,,61344355
Arunachal Pradesh,Northeast,Hepatitis B,2020,22310,36.37,61344355
Arunachal Pradesh,Northeast,Diarrhoeal Disease,2020,26913,43.87,61344355
Arunachal Pradesh,Northeast,Pneumonia,2020,61431,100.14,61344355
Arunachal Pradesh,Northeast,Tuberculosis,2021,88648,141.34,62718593
Arunachal Pradesh,Northeast,Malaria,2021,52400,83.55,62718593
Arunachal Pradesh,Northeast,Dengue,2021,292,0.47,62718593
Arunachal Pradesh,Northeast,HIV/AIDS,2021,36670,58.47,62718593
Arunachal Pradesh,Northeast,Measles,2021,81490,129.93,62718593
Arunachal Pradesh,Northeast,Hepatitis B,2021,56089,89.43,62718593
Arunachal Pradesh,Northeast,Diarrhoeal Disease,2021,86492,137.9,62718593
Arunachal Pradesh,Northeast,Pneumonia,2021,91537,145.95,62718593
Arunachal Pradesh,Northeast,Tuberculosis,2022,6549,379.14,1727332
Arunachal Pradesh,Northeast,Malaria,2022,94332,5461.14,1727332
Arunachal Pradesh,Northeast,Dengue,2022,8774,507.95,1727332
Arunachal Pradesh,Northeast,HIV/AIDS,2022,83313,,1727332
Arunachal Pradesh,Northeast,Measles,2022,45736,2647.78,1727332
Arunachal Pradesh,Northeast,Hepatitis B,2022,90940,5264.77,1727332
Arunachal Pradesh,Northeast,Diarrhoeal Disease,2022,12613,730.2,1727332
Arunachal Pradesh,Northeast,Pneumonia,2022,60636,3510.38,1727332
Arunachal Pradesh,Northeast,Tuberculosis,2023,85736,130.38,65760473
Arunachal Pradesh,Northeast,Malaria,2023,31667,48.16,65760473
Arunachal Pradesh,Northeast,Dengue,2023,99127,150.74,65760473
Arunachal Pradesh,Northeast,HIV/AIDS,2023,38499,58.54,65760473
Arunachal Pradesh,Northeast,Measles,2023,55279,84.06,65760473
Arunachal Pradesh,Northeast,Hepatitis B,2023,54015,82.14,65760473
Arunachal Pradesh,Northeast,Diarrhoeal Disease,2023,28364,43.13,65760473
Arunachal Pradesh,Northeast,Pneumonia,2023,3658,5.56,65760473
Arunachal Pradesh,Northeast,Tuberculosis,2024,528,0.49,108472311
Arunachal Pradesh,Northeast,Malaria,2024,92462,85.24,108472311
Arunachal Pradesh,Northeast,Dengue,2024,42898,39.55,108472311
Arunachal Pradesh,Northeast,HIV/AIDS,2024,78537,72.4,108472311
Arunachal Pradesh,Northeast,Measles,2024,47653,43.93,108472311
Arunachal Pradesh,Northeast,Hepatitis B,2024,39561,,108472311
Arunachal Pradesh,Northeast,Diarrhoeal Disease,2024,28522,26.29,108472311
Arunachal Pradesh,Northeast,Pneumonia,2024,36308,33.47,108472311
Assam,Northeast,Tuberculosis,2015,8866,8.51,104226721
Assam,Northeast,Malaria,2015,58376,56.01,104226721
Assam,Northeast,Dengue,2015,14956,14.35,104226721
Assam,Northeast,HIV/AIDS,2015,98129,94.15,104226721
Assam,Northeast,Measles,2015,82879,79.52,104226721
Assam,Northeast,Hepatitis B,2015,52069,49.96,104226721
Assam,Northeast,Diarrhoeal Disease,2015,36533,35.05,104226721
Assam,Northeast,Pneumonia,2015,68989,66.19,104226721
Assam,Northeast,Tuberculosis,2016,17813,32.08,55526942
Assam,Northeast,Malaria,2016,86687,156.12,55526942
Assam,Northeast,Dengue,2016,14504,,55526942
Assam,Northeast,HIV/AIDS,2016,67300,121.2,55526942
Assam,Northeast,Measles,2016,71967,129.61,55526942
Assam,Northeast,Hepatitis B,2016,16833,30.32,55526942
Assam,Northeast,Diarrhoeal Disease,2016,76939,,55526942
Assam,Northeast,Pneumonia,2016,95346,171.71,55526942
Assam,Northeast,Tuberculosis,2017,66670,71.86,92781042
Assam,Northeast,Malaria,2017,34029,36.68,92781042
Assam,Northeast,Dengue,2017,30279,32.63,92781042
Assam,Northeast,HIV/AIDS,2017,24329,26.22,92781042
Assam,Northeast,Measles,2017,99072,106.78,92781042
Assam,Northeast,Hepatitis B,2017,17577,18.94,92781042
Assam,Northeast,Diarrhoeal Disease,2017,74476,80.27,92781042
Assam,Northeast,Pneumonia,2017,52927,57.05,92781042
Assam,Northeast,Tuberculosis,2018,91634,309.29,29626858
Assam,Northeast,Malaria,2018,90816,306.53,29626858
Assam,Northeast,Dengue,2018,24235,81.8,29626858
Assam,Northeast,HIV/AIDS,2018,43607,147.19,29626858
Assam,Northeast,Measles,2018,8800,29.7,29626858
Assam,Northeast,Hepatitis B,2018,2814,9.5,29626858
Assam,Northeast,Diarrhoeal Disease,2018,54132,182.71,29626858
Assam,Northeast,Pneumonia,2018,33891,114.39,29626858
Assam,Northeast,Tuberculosis,2019,8098,28.43,28482263
Assam,Northeast,Malaria,2019,69877,245.34,28482263
Assam,Northeast,Dengue,2019,16377,57.5,28482263
Assam,Northeast,HIV/AIDS,2019,20431,71.73,28482263
Assam,Northeast,Measles,2019,43662,153.3,28482263
Assam,Northeast,Hepatitis B,2019,57665,202.46,28482263
Assam,Northeast,Diarrhoeal Disease,2019,43347,152.19,28482263
Assam,Northeast,Pneumonia,2019,42596,149.55,28482263
Assam,Northeast,Tuberculosis,2020,75651,90.98,83155024
Assam,Northeast,Malaria,2020,55686,66.97,83155024
Assam,Northeast,Dengue,2020,74981,90.17,83155024
Assam,Northeast,HIV/AIDS,2020,92890,,83155024
Assam,Northeast,Measles,2020,97342,117.06,83155024
Assam,Northeast,Hepatitis B,2020,8831,10.62,83155024
Assam,Northeast,Diarrhoeal Disease,2020,64186,,83155024
Assam,Northeast,Pneumonia,2020,21557,25.92,83155024
Assam,Northeast,Tuberculosis,2021,36417,38.47,94667093
Assam,Northeast,Malaria,2021,77375,81.73,94667093
Assam,Northeast,Dengue,2021,76721,81.04,94667093
Assam,Northeast,HIV/AIDS,2021,9604,10.15,94667093
Assam,Northeast,Measles,2021,13143,13.88,94667093
Assam,Northeast,Hepatitis B,2021,44630,47.14,94667093
Assam,Northeast,Diarrhoeal Disease,2021,74028,,94667093
Assam,Northeast,Pneumonia,2021,80201,84.72,94667093
Assam,Northeast,Tuberculosis,2022,19038,16.92,112533114
Assam,Northeast,Malaria,2022,72842,64.73,112533114
Assam,Northeast,Dengue,2022,48003,42.66,112533114
Assam,Northeast,HIV/AIDS,2022,17442,15.5,112533114
Assam,Northeast,Measles,2022,90031,80.0,112533114
Assam,Northeast,Hepatitis B,2022,60918,54.13,112533114
Assam,Northeast,Diarrhoeal Disease,2022,32550,28.92,112533114
Assam,Northeast,Pneumonia,2022,23259,20.67,112533114
Assam,Northeast,Tuberculosis,2023,10470,25.82,40552538
Assam,Northeast,Malaria,2023,36671,90.43,40552538
Assam,Northeast,Dengue,2023,34714,85.6,40552538
Assam,Northeast,HIV/AIDS,2023,7752,19.12,40552538
Assam,Northeast,Measles,2023,20530,50.63,40552538
Assam,Northeast,Hepatitis B,2023,61033,150.5,40552538
Assam,Northeast,Diarrhoeal Disease,2023,86374,212.99,40552538
Assam,Northeast,Pneumonia,2023,76928,189.7,40552538
Assam,Northeast,Tuberculosis,2024,57865,52.92,109337130
Assam,Northeast,Malaria,2024,89613,81.96,109337130
Assam,Northeast,Dengue,2024,66538,60.86,109337130
Assam,Northeast,HIV/AIDS,2024,44678,40.86,109337130
Assam,Northeast,Measles,2024,8521,7.79,109337130
Assam,Northeast,Hepatitis B,2024,15533,14.21,109337130
Assam,Northeast,Diarrhoeal Disease,2024,43854,40.11,109337130
Assam,Northeast,Pneumonia,2024,76878,70.31,109337130
Bihar,East,Tuberculosis,2015,79658,109.68,72625933
Bihar,East,Malaria,2015,74900,103.13,72625933
Bihar,East,Dengue,2015,8571,11.8,72625933
Bihar,East,HIV/AIDS,2015,90709,124.9,72625933
Bihar,East,Measles,2015,26335,36.26,72625933
Bihar,East,Hepatitis B,2015,29960,41.25,72625933
Bihar,East,Diarrhoeal Disease,2015,38949,53.63,72625933
Bihar,East,Pneumonia,2015,2366,3.26,72625933
Bihar,East,Tuberculosis,2016,52222,,47591023
Bihar,East,Malaria,2016,75861,159.4,47591023
Bihar,East,Dengue,2016,8822,18.54,47591023
Bihar,East,HIV/AIDS,2016,55328,116.26,47591023
Bihar,East,Measles,2016,21520,45.22,47591023
Bihar,East,Hepatitis B,2016,80064,,47591023
Bihar,East,Diarrhoeal Disease,2016,78934,165.86,47591023
Bihar,East,Pneumonia,2016,5943,,47591023
Bihar,East,Tuberculosis,2017,90349,156.01,57911043
Bihar,East,Malaria,2017,41578,71.8,57911043
Bihar,East,Dengue,2017,41557,71.76,57911043
Bihar,East,HIV/AIDS,2017,54771,94.58,57911043
Bihar,East,Measles,2017,12407,21.42,57911043
Bihar,East,Hepatitis B,2017,21291,36.77,57911043
Bihar,East,Diarrhoeal Disease,2017,86422,149.23,57911043
Bihar,East,Pneumonia,2017,60819,105.02,57911043
Bihar,East,Tuberculosis,2018,16544,,24547813
Bihar,East,Malaria,2018,86554,352.59,24547813
Bihar,East,Dengue,2018,24173,98.47,24547813
Bihar,East,HIV/AIDS,2018,92477,376.72,24547813
Bihar,East,Measles,2018,98923,402.98,24547813
Bihar,East,Hepatitis B,2018,70686,287.95,24547813
Bihar,East,Diarrhoeal Disease,2018,29777,121.3,24547813
Bihar,East,Pneumonia,2018,23678,96.46,24547813
Bihar,East,Tuberculosis,2019,28531,30.17,94579833
Bihar,East,Malaria,2019,87126,92.12,94579833
Bihar,East,Dengue,2019,79749,84.32,94579833
Bihar,East,HIV/AIDS,2019,71348,75.44,94579833
Bihar,East,Measles,2019,79130,83.66,94579833
Bihar,East,Hepatitis B,2019,4374,4.62,94579833
Bihar,East,Diarrhoeal Disease,2019,14188,15.0,94579833
Bihar,East,Pneumonia,2019,96957,102.51,94579833
Bihar,East,Tuberculosis,2020,95422,161.32,59150094
Bihar,East,Malaria,2020,37860,64.01,59150094
Bihar,East,Dengue,2020,12825,,59150094
Bihar,East,HIV/AIDS,2020,87300,147.59,59150094
Bihar,East,Measles,2020,1697,2.87,59150094
Bihar,East,Hepatitis B,2020,39552,66.87,59150094
Bihar,East,Diarrhoeal Disease,2020,56223,95.05,59150094
Bihar,East,Pneumonia,2020,89132,150.69,59150094
Bihar,East,Tuberculosis,2021,48686,51.84,93907247
Bihar,East,Malaria,2021,53250,56.7,93907247
Bihar,East,Dengue,2021,17381,18.51,93907247
Bihar,East,HIV/AIDS,2021,7122,,93907247
Bihar,East,Measles,2021,23835,25.38,93907247
Bihar,East,Hepatitis B,2021,18444,19.64,93907247
Bihar,East,Diarrhoeal Disease,2021,15760,16.78,93907247
Bihar,East,Pneumonia,2021,75289,80.17,93907247
Bihar,East,Tuberculosis,2022,422,1.38,30568321
Bihar,East,Malaria,2022,14585,47.71,30568321
Bihar,East,Dengue,2022,18094,59.19,30568321
Bihar,East,HIV/AIDS,2022,79164,258.97,30568321
Bihar,East,Measles,2022,3535,11.56,30568321
Bihar,East,Hepatitis B,2022,13881,45.41,30568321
Bihar,East,Diarrhoeal Disease,2022,10574,34.59,30568321
Bihar,East,Pneumonia,2022,17526,57.33,30568321
Bihar,East,Tuberculosis,2023,29186,35.21,82901845
Bihar,East,Malaria,2023,74746,90.16,82901845
Bihar,East,Dengue,2023,87809,105.92,82901845
Bihar,East,HIV/AIDS,2023,55833,67.35,82901845
Bihar,East,Measles,2023,65235,78.69,82901845
Bihar,East,Hepatitis B,2023,33750,40.71,82901845
Bihar,East,Diarrhoeal Disease,2023,76956,92.83,82901845
Bihar,East,Pneumonia,2023,78806,95.06,82901845
Bihar,East,Tuberculosis,2024,36953,72.0,51320400
Bihar,East,Malaria,2024,91528,178.35,51320400
Bihar,East,Dengue,2024,97362,189.71,51320400
Bihar,East,HIV/AIDS,2024,75152,146.44,51320400
Bihar,East,Measles,2024,66890,130.34,51320400
Bihar,East,Hepatitis B,2024,97221,189.44,51320400
Bihar,East,Diarrhoeal Disease,2024,79599,155.1,51320400
Bihar,East,Pneumonia,2024,60942,118.75,51320400
Chhattisgarh,Central,Tuberculosis,2015,63924,119.43,53525935
Chhattisgarh,Central,Malaria,2015,34810,65.03,53525935
Chhattisgarh,Central,Dengue,2015,14455,27.01,53525935
Chhattisgarh,Central,HIV/AIDS,2015,83319,155.66,53525935
Chhattisgarh,Central,Measles,2015,93947,175.52,53525935
Chhattisgarh,Central,Hepatitis B,2015,47013,87.83,53525935
Chhattisgarh,Central,Diarrhoeal Disease,2015,23923,44.69,53525935
Chhattisgarh,Central,Pneumonia,2015,11451,21.39,53525935
Chhattisgarh,Central,Tuberculosis,2016,14302,14.63,97736705
Chhattisgarh,Central,Malaria,2016,70789,72.43,97736705
Chhattisgarh,Central,Dengue,2016,69042,70.64,97736705
Chhattisgarh,Central,HIV/AIDS,2016,51648,52.84,97736705
Chhattisgarh,Central,Measles,2016,23255,23.79,97736705
Chhattisgarh,Central,Hepatitis B,2016,24390,24.95,97736705
Chhattisgarh,Central,Diarrhoeal Disease,2016,11980,12.26,97736705
Chhattisgarh,Central,Pneumonia,2016,41650,42.61,97736705
Chhattisgarh,Central,Tuberculosis,2017,87347,3485.1,2506299
Chhattisgarh,Central,Malaria,2017,68579,2736.27,2506299
Chhattisgarh,Central,Dengue,2017,43923,1752.5,2506299
Chhattisgarh,Central,HIV/AIDS,2017,17438,695.77,2506299
Chhattisgarh,Central,Measles,2017,53672,2141.48,2506299
Chhattisgarh,Central,Hepatitis B,2017,77976,3111.2,2506299
Chhattisgarh,Central,Diarrhoeal Disease,2017,88072,3514.03,2506299
Chhattisgarh,Central,Pneumonia,2017,70357,2807.21,2506299
Chhattisgarh,Central,Tuberculosis,2018,24051,100.8,23859573
Chhattisgarh,Central,Malaria,2018,90080,377.54,23859573
Chhattisgarh,Central,Dengue,2018,22797,95.55,23859573
Chhattisgarh,Central,HIV/AIDS,2018,28957,121.36,23859573
Chhattisgarh,Central,Measles,2018,45066,188.88,23859573
Chhattisgarh,Central,Hepatitis B,2018,53219,223.05,23859573
Chhattisgarh,Central,Diarrhoeal Disease,2018,16690,69.95,23859573
Chhattisgarh,Central,Pneumonia,2018,12110,50.76,23859573
Chhattisgarh,Central,Tuberculosis,2019,82791,68.59,120705104
Chhattisgarh,Central,Malaria,2019,55431,45.92,120705104
Chhattisgarh,Central,Dengue,2019,88831,73.59,120705104
Chhattisgarh,Central,HIV/AIDS,2019,61231,50.73,120705104
Chhattisgarh,Central,Measles,2019,174,0.14,120705104
Chhattisgarh,Central,Hepatitis B,2019,96755,80.16,120705104
Chhattisgarh,Central,Diarrhoeal Disease,2019,21657,17.94,120705104
Chhattisgarh,Central,Pneumonia,2019,23786,19.71,120705104
Chhattisgarh,Central,Tuberculosis,2020,8005,9.99,80141440
Chhattisgarh,Central,Malaria,2020,90731,,80141440
Chhattisgarh,Central,Dengue,2020,67140,83.78,80141440
Chhattisgarh,Central,HIV/AIDS,2020,36069,45.01,80141440
Chhattisgarh,Central,Measles,2020,82322,102.72,80141440
Chhattisgarh,Central,Hepatitis B,2020,65396,81.6,80141440
Chhattisgarh,Central,Diarrhoeal Disease,2020,41561,51.86,80141440
Chhattisgarh,Central,Pneumonia,2020,63527,79.27,80141440
Chhattisgarh,Central,Tuberculosis,2021,1383,1.35,102631754
Chhattisgarh,Central,Malaria,2021,25293,24.64,102631754
Chhattisgarh,Central,Dengue,2021,39023,38.02,102631754
Chhattisgarh,Central,HIV/AIDS,2021,93329,90.94,102631754
Chhattisgarh,Central,Measles,2021,80343,78.28,102631754
Chhattisgarh,Central,Hepatitis B,2021,6017,5.86,102631754
Chhattisgarh,Central,Diarrhoeal Disease,2021,71009,69.19,102631754
Chhattisgarh,Central,Pneumonia,2021,46810,45.61,102631754
Chhattisgarh,Central,Tuberculosis,2022,16568,42.78,38730173
Chhattisgarh,Central,Malaria,2022,57843,149.35,38730173
Chhattisgarh,Central,Dengue,2022,899,2.32,38730173
Chhattisgarh,Central,HIV/AIDS,2022,67993,175.56,38730173
Chhattisgarh,Central,Measles,2022,34365,88.73,38730173
Chhattisgarh,Central,Hepatitis B,2022,97384,251.44,38730173
Chhattisgarh,Central,Diarrhoeal Disease,2022,37481,96.77,38730173
Chhattisgarh,Central,Pneumonia,2022,37640,97.19,38730173
Chhattisgarh,Central,Tuberculosis,2023,69734,61.02,114273045
Chhattisgarh,Central,Malaria,2023,35857,31.38,114273045
Chhattisgarh,Central,Dengue,2023,74426,65.13,114273045
Chhattisgarh,Central,HIV/AIDS,2023,77998,68.26,114273045
Chhattisgarh,Central,Measles,2023,73799,64.58,114273045
Chhattisgarh,Central,Hepatitis B,2023,9846,8.62,114273045
Chhattisgarh,Central,Diarrhoeal Disease,2023,62132,,114273045
Chhattisgarh,Central,Pneumonia,2023,60559,52.99,114273045
Chhattisgarh,Central,Tuberculosis,2024,47542,44.01,108024273
Chhattisgarh,Central,Malaria,2024,6810,,108024273
Chhattisgarh,Central,Dengue,2024,66382,61.45,108024273
Chhattisgarh,Central,HIV/AIDS,2024,9346,8.65,108024273
Chhattisgarh,Central,Measles,2024,8131,7.53,108024273
Chhattisgarh,Central,Hepatitis B,2024,86807,80.36,108024273
Chhattisgarh,Central,Diarrhoeal Disease,2024,13124,12.15,108024273
Chhattisgarh,Central,Pneumonia,2024,34303,31.75,108024273
Goa,West,Tuberculosis,2015,13136,,21013602
Goa,West,Malaria,2015,46474,221.16,21013602
Goa,West,Dengue,2015,37765,179.72,21013602
Goa,West,HIV/AIDS,2015,37388,177.92,21013602
Goa,West,Measles,2015,64551,307.19,21013602
Goa,West,Hepatitis B,2015,19164,91.2,21013602
Goa,West,Diarrhoeal Disease,2015,47724,227.11,21013602
Goa,West,Pneumonia,2015,64263,305.82,21013602
Goa,West,Tuberculosis,2016,38287,6663.56,574573
Goa,West,Malaria,2016,35362,6154.48,574573
Goa,West,Dengue,2016,91169,15867.26,574573
Goa,West,HIV/AIDS,2016,80963,14090.99,574573
Goa,West,Measles,2016,82756,14403.04,574573
Goa,West,Hepatitis B,2016,49855,8676.88,574573
Goa,West,Diarrhoeal Disease,2016,94287,16409.93,574573
Goa,West,Pneumonia,2016,29389,5114.93,574573
Goa,West,Tuberculosis,2017,94478,229.1,41238394
Goa,West,Malaria,2017,72831,176.61,41238394
Goa,West,Dengue,2017,83558,202.62,41238394
Goa,West,HIV/AIDS,2017,83928,203.52,41238394
Goa,West,Measles,2017,32184,78.04,41238394
Goa,West,Hepatitis B,2017,88315,214.16,41238394
Goa,West,Diarrhoeal Disease,2017,60173,145.91,41238394
Goa,West,Pneumonia,2017,94819,229.93,41238394
Goa,West,Tuberculosis,2018,71409,,114191554
Goa,West,Malaria,2018,3357,2.94,114191554
Goa,West,Dengue,2018,61465,53.83,114191554
Goa,West,HIV/AIDS,2018,76430,66.93,114191554
Goa,West,Measles,2018,42178,36.94,114191554
Goa,West,Hepatitis B,2018,29591,25.91,114191554
Goa,West,Diarrhoeal Disease,2018,67421,59.04,114191554
Goa,West,Pneumonia,2018,83938,73.51,114191554
Goa,West,Tuberculosis,2019,82831,97.41,85036267
Goa,West,Malaria,2019,21194,24.92,85036267
Goa,West,Dengue,2019,88462,104.03,85036267
Goa,West,HIV/AIDS,2019,41762,49.11,85036267
Goa,West,Measles,2019,8203,9.65,85036267
Goa,West,Hepatitis B,2019,94208,110.79,85036267
